"Time","Timestamp","cpu_usage","memory_usage","bandwidth_inbound","bandwidth_outbound","tps","tps_error","response_time","Status"
"2023-09-08 01:26:20","1694111180000","17.0%","55.4%","13.6 GB/s","10.9 GB/s","2.20 req/s","0 req/s","1.31 s","0"
"2023-09-08 01:26:25","1694111185000","13.6%","55.1%","1.63 GB/s","1.53 GB/s","1.80 req/s","0 req/s","836 ms","0"
"2023-09-08 01:26:30","1694111190000","13.8%","51.3%","4.62 GB/s","4.67 GB/s","3.20 req/s","0 req/s","968 ms","0"
"2023-09-08 01:26:35","1694111195000","22.8%","54.4%","12.4 GB/s","10.1 GB/s","2.80 req/s","0 req/s","1.76 s","0"
"2023-09-08 01:26:40","1694111200000","3.40%","54.6%","1.50 GB/s","1.33 GB/s","1.40 req/s","0 req/s","654 ms","0"
"2023-09-08 01:26:45","1694111205000","14.6%","53.3%","5.78 GB/s","5.11 GB/s","2.60 req/s","0 req/s","967 ms","0"
"2023-09-08 01:26:50","1694111210000","17.0%","54.2%","7.84 GB/s","6.82 GB/s","2.40 req/s","0 req/s","1.75 s","0"
"2023-09-08 01:26:55","1694111215000","21.2%","55.3%","11.1 GB/s","9.77 GB/s","3 req/s","0 req/s","2.26 s","0"
"2023-09-08 01:27:00","1694111220000","20.4%","53.2%","9.32 GB/s","8.11 GB/s","3 req/s","0 req/s","2.01 s","0"
"2023-09-08 01:27:05","1694111225000","20.8%","57.2%","8.45 GB/s","8.16 GB/s","3.40 req/s","0.600 req/s","2.46 s","1"
"2023-09-08 01:27:10","1694111230000","17.4%","54.2%","11.2 GB/s","8.98 GB/s","3.80 req/s","0.400 req/s","3.44 s","1"
"2023-09-08 01:27:15","1694111235000","21.0%","57.0%","9.99 GB/s","8.66 GB/s","2.80 req/s","0 req/s","2.29 s","0"
"2023-09-08 01:27:20","1694111240000","7.80%","50.5%","3.61 GB/s","3.25 GB/s","2.40 req/s","0 req/s","501 ms","0"
"2023-09-08 01:27:25","1694111245000","19.0%","54.7%","12.3 GB/s","10.6 GB/s","4.40 req/s","0 req/s","1.34 s","0"
"2023-09-08 01:27:30","1694111250000","12.8%","55.4%","9.47 GB/s","8.16 GB/s","2 req/s","0 req/s","547 ms","0"
"2023-09-08 01:27:35","1694111255000","9.60%","53.2%","6.25 GB/s","5.55 GB/s","2.60 req/s","0 req/s","427 ms","0"
"2023-09-08 01:27:40","1694111260000","12.8%","55.7%","11.2 GB/s","9.74 GB/s","2.40 req/s","0 req/s","1.10 s","0"
"2023-09-08 01:27:45","1694111265000","12.6%","54.8%","8.29 GB/s","7.10 GB/s","3.20 req/s","0 req/s","517 ms","0"
"2023-09-08 01:27:50","1694111270000","16.8%","53.6%","7.52 GB/s","6.67 GB/s","2.40 req/s","0 req/s","854 ms","0"
"2023-09-08 01:27:55","1694111275000","18.2%","53.2%","9.31 GB/s","8.14 GB/s","2.20 req/s","0 req/s","977 ms","0"
"2023-09-08 01:28:00","1694111280000","18.4%","52.7%","5.19 GB/s","4.55 GB/s","2.40 req/s","0 req/s","1.26 s","0"
"2023-09-08 01:28:05","1694111285000","16.6%","54.2%","7.83 GB/s","6.84 GB/s","2.60 req/s","0 req/s","1.21 s","0"
"2023-09-08 01:28:10","1694111290000","21.8%","54.9%","7.57 GB/s","6.59 GB/s","3.20 req/s","0 req/s","911 ms","0"
"2023-09-08 01:28:15","1694111295000","18.4%","54.6%","8.90 GB/s","7.87 GB/s","3.20 req/s","0 req/s","1.90 s","0"
"2023-09-08 01:28:20","1694111300000","13.8%","50.0%","3.63 GB/s","3.24 GB/s","2.20 req/s","0 req/s","1.01 s","0"
"2023-09-08 01:28:25","1694111305000","15.2%","53.2%","5.88 GB/s","5.30 GB/s","2.80 req/s","0 req/s","526 ms","0"
"2023-09-08 01:28:30","1694111310000","8.00%","53.3%","3.14 GB/s","2.59 GB/s","2 req/s","0 req/s","498 ms","0"
"2023-09-08 01:28:35","1694111315000","16.4%","53.9%","12.1 GB/s","10.4 GB/s","2.20 req/s","0 req/s","671 ms","0"
"2023-09-08 01:28:40","1694111320000","15.0%","52.9%","4.38 GB/s","3.95 GB/s","3 req/s","0 req/s","1.28 s","0"
"2023-09-08 01:28:45","1694111325000","6.80%","53.1%","2.28 GB/s","2.12 GB/s","2.40 req/s","0 req/s","1.28 s","0"
"2023-09-08 01:28:50","1694111330000","12.0%","54.7%","9.04 GB/s","7.76 GB/s","2 req/s","0 req/s","523 ms","0"
"2023-09-08 01:28:55","1694111335000","13.8%","53.1%","6.88 GB/s","6.09 GB/s","3.20 req/s","0 req/s","1.32 s","0"
"2023-09-08 01:29:00","1694111340000","8.20%","50.9%","4.02 GB/s","3.47 GB/s","3.00 req/s","0 req/s","409 ms","0"
"2023-09-08 01:29:05","1694111345000","13.2%","53.9%","8.81 GB/s","7.54 GB/s","1.40 req/s","0 req/s","315 ms","0"
"2023-09-08 01:29:10","1694111350000","17.8%","53.2%","8.62 GB/s","7.59 GB/s","2.80 req/s","0 req/s","1.44 s","0"
"2023-09-08 01:29:15","1694111355000","21.0%","55.4%","13.7 GB/s","11.7 GB/s","2.40 req/s","0 req/s","608 ms","0"
"2023-09-08 01:29:20","1694111360000","9.60%","53.9%","5.24 GB/s","4.54 GB/s","2 req/s","0 req/s","432 ms","0"
"2023-09-08 01:29:25","1694111365000","15.6%","53.9%","5.22 GB/s","4.64 GB/s","2.80 req/s","0 req/s","1.02 s","0"
"2023-09-08 01:29:30","1694111370000","26.0%","54.3%","14.1 GB/s","12.5 GB/s","3.60 req/s","0 req/s","2.01 s","0"
"2023-09-08 01:29:35","1694111375000","31.4%","58.3%","13.3 GB/s","11.5 GB/s","3.60 req/s","0 req/s","2.24 s","0"
"2023-09-08 01:29:40","1694111380000","6.80%","54.0%","5.03 GB/s","4.39 GB/s","1.60 req/s","0 req/s","711 ms","0"
"2023-09-08 01:29:45","1694111385000","19.8%","52.8%","3.21 GB/s","3.08 GB/s","2.80 req/s","0 req/s","2.97 s","0"
"2023-09-08 01:29:50","1694111390000","24.0%","54.5%","9.84 GB/s","9.02 GB/s","3.60 req/s","0 req/s","2.18 s","0"
"2023-09-08 01:29:55","1694111395000","23.2%","54.0%","10.1 GB/s","8.35 GB/s","4.40 req/s","0 req/s","2.95 s","0"
"2023-09-08 01:30:00","1694111400000","15.4%","57.5%","7.33 GB/s","6.33 GB/s","2.60 req/s","0 req/s","684 ms","0"
"2023-09-08 01:30:05","1694111405000","11.8%","53.8%","6.46 GB/s","5.84 GB/s","1.60 req/s","0 req/s","398 ms","0"
"2023-09-08 01:30:10","1694111410000","25.4%","56.3%","7.53 GB/s","6.34 GB/s","2.40 req/s","0 req/s","1.24 s","0"
"2023-09-08 01:30:15","1694111415000","17.0%","55.5%","12.5 GB/s","10.7 GB/s","2.80 req/s","0 req/s","466 ms","0"
"2023-09-08 01:30:20","1694111420000","15.6%","53.4%","5.92 GB/s","5.37 GB/s","1.80 req/s","0 req/s","1.37 s","0"
"2023-09-08 01:30:25","1694111425000","34.4%","59.0%","11.5 GB/s","10.4 GB/s","3 req/s","0 req/s","4.31 s","0"
"2023-09-08 01:30:30","1694111430000","29.4%","51.2%","6.31 GB/s","7.62 GB/s","3.60 req/s","0.600 req/s","3.96 s","1"
"2023-09-08 01:30:35","1694111435000","34.2%","54.7%","12.5 GB/s","10.6 GB/s","4.20 req/s","0 req/s","2.99 s","0"
"2023-09-08 01:30:40","1694111440000","25.4%","53.0%","9.40 GB/s","7.79 GB/s","2.80 req/s","0 req/s","1.40 s","0"
"2023-09-08 01:30:45","1694111445000","11.4%","52.8%","2.31 GB/s","2.19 GB/s","2.80 req/s","0 req/s","896 ms","0"
"2023-09-08 01:30:50","1694111450000","19.8%","54.9%","9.85 GB/s","8.46 GB/s","3.40 req/s","0 req/s","1.00 s","0"
"2023-09-08 01:30:55","1694111455000","17.8%","54.8%","11.1 GB/s","9.59 GB/s","2.40 req/s","0 req/s","769 ms","0"
"2023-09-08 01:31:00","1694111460000","13.6%","53.0%","12.5 GB/s","10.7 GB/s","3.40 req/s","0 req/s","493 ms","0"
"2023-09-08 01:31:05","1694111465000","8.00%","54.2%","5.99 GB/s","5.15 GB/s","1.20 req/s","0 req/s","639 ms","0"
"2023-09-08 01:31:10","1694111470000","22.2%","58.9%","7.33 GB/s","6.42 GB/s","1.80 req/s","0 req/s","1.01 s","0"
"2023-09-08 01:31:15","1694111475000","14.8%","57.1%","4.13 GB/s","3.67 GB/s","1.80 req/s","0 req/s","631 ms","0"
"2023-09-08 01:31:20","1694111480000","17.4%","55.8%","12.6 GB/s","10.9 GB/s","3 req/s","0 req/s","707 ms","0"
"2023-09-08 01:31:25","1694111485000","18.6%","54.0%","7.54 GB/s","6.56 GB/s","2.40 req/s","0 req/s","759 ms","0"
"2023-09-08 01:31:30","1694111490000","12.4%","55.1%","11.4 GB/s","9.76 GB/s","2 req/s","0 req/s","386 ms","0"
"2023-09-08 01:31:35","1694111495000","14.6%","53.3%","5.66 GB/s","5.09 GB/s","2.20 req/s","0 req/s","1.16 s","0"
"2023-09-08 01:31:40","1694111500000","18.2%","53.1%","8.57 GB/s","7.48 GB/s","2.40 req/s","0 req/s","1.02 s","0"
"2023-09-08 01:31:45","1694111505000","24.8%","59.4%","10.2 GB/s","9.45 GB/s","3.80 req/s","0 req/s","2.06 s","0"
"2023-09-08 01:31:50","1694111510000","11.2%","53.4%","3.92 GB/s","3.41 GB/s","1.20 req/s","0 req/s","561 ms","0"
"2023-09-08 01:31:55","1694111515000","16.6%","53.8%","7.30 GB/s","6.82 GB/s","3 req/s","0 req/s","542 ms","0"
